city,lat,lng,country,iso2,admin_name,capital,population,population_proper,elevation
Bīdar,17.9229,77.5175,India,IN,Karnātaka,,300136.0,204071.0,679
Rāmpur,28.8154,79.025,India,IN,Uttar Pradesh,,296418.0,296418.0,196
Shiliguri,26.72,88.42,India,IN,West Bengal,,294546.0,294546.0,120
Bāli,22.65,88.34,India,IN,West Bengal,,293373.0,293373.0,5
Pānīpat,29.4004,76.97,India,IN,Haryāna,,292808.0,292808.0,236
Karīmnagar,18.4333,79.15,India,IN,Telangana,,289821.0,289821.0,257
Bhuj,23.2504,69.81,India,IN,Gujarāt,,289429.0,289429.0,105
Ichalkaranji,16.7,74.47,India,IN,Mahārāshtra,,287570.0,287570.0,553
Tirupati,13.65,79.42,India,IN,Andhra Pradesh,,287482.0,287482.0,169
Hospet,15.2667,76.4,India,IN,Karnātaka,,286007.0,197846.0,485
Āīzawl,23.7104,92.72,India,IN,Mizoram,admin,283021.0,265331.0,1026
Sannai,24.16,80.83,India,IN,Madhya Pradesh,,283004.0,283004.0,395
Bārāsat,22.2333,88.45,India,IN,West Bengal,,278435.0,278435.0,10
Ratlām,23.3167,75.0667,India,IN,Madhya Pradesh,,273892.0,273892.0,489
Handwāra,34.4,74.28,India,IN,Jammu and Kashmīr,,269311.0,269311.0,1604
Drug,21.19,81.28,India,IN,Chhattīsgarh,,268806.0,268806.0,300
Imphāl,24.82,93.95,India,IN,Manipur,admin,268243.0,268243.0,785
Anantapur,14.6833,77.6,India,IN,Andhra Pradesh,,267161.0,267161.0,348
Etāwah,26.7855,79.015,India,IN,Uttar Pradesh,,257448.0,257448.0,156
Rāichūr,16.2104,77.355,India,IN,Karnātaka,,255240.0,225962.0,395
Ongole,15.5,80.05,India,IN,Andhra Pradesh,,252739.0,252739.0,20
Bharatpur,27.2172,77.49,India,IN,Rājasthān,,252342.0,252342.0,180
Begusarai,25.42,86.13,India,IN,Bihār,,252008.0,252008.0,45
Sonīpat,28.9958,77.0114,India,IN,Haryāna,,250521.0,250521.0,225
Rāmgundam,18.8,79.45,India,IN,Telangana,,242979.0,242979.0,146
Hāpur,28.7437,77.7628,India,IN,Uttar Pradesh,,242920.0,242920.0,212
Uluberiya,22.47,88.11,India,IN,West Bengal,,235345.0,235345.0,7
Porbandar,21.6425,69.6047,India,IN,Gujarāt,,234684.0,138872.0,7
Pāli,25.7725,73.3233,India,IN,Rājasthān,,229956.0,229956.0,218
Vizianagaram,18.1167,83.4167,India,IN,Andhra Pradesh,,228720.0,228720.0,72
Puducherry,11.93,79.83,India,IN,Puducherry,admin,227411.0,227411.0,9
Karnāl,29.6804,76.97,India,IN,Haryāna,,225049.0,225049.0,251
Nāgercoil,8.17,77.43,India,IN,Tamil Nādu,,224329.0,213858.0,45
Tanjore,10.8,79.15,India,IN,Tamil Nādu,,222943.0,222943.0,38
Sambhal,28.58,78.55,India,IN,Uttar Pradesh,,220813.0,220813.0,199
Naihāti,22.9,88.42,India,IN,West Bengal,,217900.0,217900.0,14
Secunderābād,17.45,78.5,India,IN,Telangana,,213698.0,213698.0,536
Kharagpur,22.3302,87.3237,India,IN,West Bengal,,207604.0,207604.0,44
Dindigul,10.35,77.95,India,IN,Tamil Nādu,,207327.0,207327.0,262
Shimla,31.1033,77.1722,India,IN,Himāchal Pradesh,admin,206575.0,206575.0,2111
Ingrāj Bāzār,25.0,88.15,India,IN,West Bengal,,205521.0,205521.0,30
Ellore,16.7,81.1,India,IN,Andhra Pradesh,,203780.0,203780.0,17
Puri,19.8,85.8167,India,IN,Odisha,,201026.0,201026.0,22
Haldia,22.0257,88.0583,India,IN,West Bengal,,200762.0,200762.0,6
Nandyāl,15.48,78.48,India,IN,Andhra Pradesh,,200516.0,200516.0,210
Bulandshahr,28.4104,77.8484,India,IN,Uttar Pradesh,,198612.0,198612.0,203
Chakradharpur,22.7,85.63,India,IN,Jharkhand,,197953.0,197953.0,229
Bhiwāni,28.7833,76.1333,India,IN,Haryāna,,197662.0,197662.0,214
Gurgaon,28.45,77.02,India,IN,Haryāna,,197340.0,197340.0,223
Burhānpur,21.3004,76.13,India,IN,Madhya Pradesh,,197233.0,197233.0,267
Khammam,17.25,80.15,India,IN,Telangana,,196283.0,196283.0,124
Madhyamgram,22.7,88.45,India,IN,West Bengal,,196127.0,196127.0,10
Ghāndīnagar,23.22,72.68,India,IN,Gujarāt,admin,195891.0,195891.0,71
Baharampur,24.1,88.25,India,IN,West Bengal,,195223.0,195223.0,23
Mahbūbnagar,16.7333,77.9833,India,IN,Telangana,,190400.0,190400.0,504
Mahesāna,23.6,72.4,India,IN,Gujarāt,,184991.0,184991.0,97
Ādoni,15.63,77.28,India,IN,Andhra Pradesh,,184625.0,184625.0,431
Rāiganj,25.6167,88.1167,India,IN,West Bengal,,183612.0,183612.0,34
Bhusāval,21.02,75.83,India,IN,Mahārāshtra,,183001.0,172366.0,225
Bahraigh,27.6204,81.6699,India,IN,Uttar Pradesh,,182218.0,182218.0,128
Shrīrāmpur,22.75,88.34,India,IN,West Bengal,,181842.0,181842.0,10
Tonk,26.1505,75.79,India,IN,Rājasthān,,181734.0,151331.0,284
Sirsa,29.4904,75.03,India,IN,Haryāna,,181639.0,160129.0,201
Jaunpur,25.7333,82.6833,India,IN,Uttar Pradesh,,180362.0,180362.0,84
Madanapalle,13.55,78.5,India,IN,Andhra Pradesh,,180180.0,180180.0,695
Hugli,22.9,88.39,India,IN,West Bengal,,179931.0,179931.0,17
Vellore,12.9204,79.15,India,IN,Tamil Nādu,,177081.0,177081.0,435
Alleppey,9.5004,76.37,India,IN,Kerala,,176783.0,176783.0,2
Cuddalore,11.75,79.75,India,IN,Tamil Nādu,,173676.0,173676.0,4
Deo,24.6561,84.4356,India,IN,Bihār,,173216.0,173216.0,129
Chīrāla,15.82,80.35,India,IN,Andhra Pradesh,,172826.0,172826.0,12
Machilīpatnam,16.1667,81.1333,India,IN,Andhra Pradesh,,169892.0,169892.0,8
Medinīpur,22.4333,87.3333,India,IN,West Bengal,,169264.0,169264.0,39
Bāramūla,34.2,74.34,India,IN,Jammu and Kashmīr,,167986.0,167986.0,1598
Chandannagar,22.8667,88.3833,India,IN,West Bengal,,166867.0,166867.0,0
Fatehpur,25.8804,80.8,India,IN,Uttar Pradesh,,166480.0,166480.0,115
Udipi,13.3322,74.7461,India,IN,Karnātaka,,165401.0,165401.0,32
Tenāli,16.243,80.64,India,IN,Andhra Pradesh,,164937.0,164937.0,16
Sitalpur,27.63,80.75,India,IN,Uttar Pradesh,,164435.0,164435.0,142
Conjeeveram,12.8308,79.7078,India,IN,Tamil Nādu,,164384.0,164384.0,85
Proddatūr,14.73,78.55,India,IN,Andhra Pradesh,,163970.0,163970.0,160
Navsāri,20.8504,72.92,India,IN,Gujarāt,,163000.0,163000.0,15
Godhra,22.7755,73.6149,India,IN,Gujarāt,,161925.0,161925.0,128
Budaun,28.03,79.09,India,IN,Uttar Pradesh,,161555.0,161555.0,173
Chittoor,13.2,79.1167,India,IN,Andhra Pradesh,,160722.0,160722.0,319
Harīpur,31.52,75.98,India,IN,Punjab,,158142.0,158142.0,330
Saharsa,25.88,86.6,India,IN,Bihār,,156540.0,156540.0,45
Vidisha,23.5239,77.8061,India,IN,Madhya Pradesh,,155959.0,155959.0,428
Pathānkot,32.2689,75.6497,India,IN,Punjab,,155909.0,155909.0,333
Nalgonda,17.05,79.27,India,IN,Telangana,,154326.0,154326.0,230
Dibrugarh,27.4833,95.0,India,IN,Assam,,154019.0,154019.0,112
Bālurghāt,25.2167,88.7667,India,IN,West Bengal,,153279.0,153279.0,28
