city,lat,lng,country,iso2,admin_name,capital,population,population_proper,elevation
Karūr,10.9504,78.0833,India,IN,Tamil Nādu,,76915.0,76915.0,121
Mangalagiri,16.43,80.55,India,IN,Andhra Pradesh,,73613.0,73613.0,27
Kairāna,29.4,77.2,India,IN,Uttar Pradesh,,73046.0,73046.0,238
Mārkāpur,15.735,79.27,India,IN,Andhra Pradesh,,71092.0,71092.0,156
Malaut,30.19,74.499,India,IN,Punjab,,70958.0,70958.0,197
Bāpatla,15.8889,80.47,India,IN,Andhra Pradesh,,70777.0,70777.0,6
Badvel,14.75,79.05,India,IN,Andhra Pradesh,,70626.0,70626.0,129
Jorhāt,26.75,94.2167,India,IN,Assam,,69033.0,69033.0,95
Koratla,18.82,78.72,India,IN,Telangana,,66504.0,66504.0,293
Pulivendla,14.4167,78.2333,India,IN,Andhra Pradesh,,65706.0,65706.0,288
Jaisalmer,26.9167,70.9167,India,IN,Rājasthān,,65471.0,65471.0,237
Tādepalle,16.4667,80.6,India,IN,Andhra Pradesh,,64149.0,64149.0,17
Armūr,18.79,78.29,India,IN,Telangana,,64023.0,64023.0,381
Jatani,20.17,85.7,India,IN,Odisha,,63697.0,63697.0,39
Gadwāl,16.23,77.8,India,IN,Telangana,,63177.0,63177.0,324
Nagari,13.33,79.58,India,IN,Andhra Pradesh,,62253.0,62253.0,114
Wanparti,16.361,78.0627,India,IN,Telangana,,60949.0,60949.0,402
Ponnūru,16.0667,80.5667,India,IN,Andhra Pradesh,,59913.0,59913.0,6
Vinukonda,16.05,79.75,India,IN,Andhra Pradesh,,59725.0,59725.0,94
Itānagar,27.1,93.62,India,IN,Arunāchal Pradesh,admin,59490.0,59490.0,349
Tezpur,26.6338,92.8,India,IN,Assam,,58851.0,58851.0,76
Narasapur,16.4333,81.6833,India,IN,Andhra Pradesh,,58770.0,58770.0,14
Kothāpet,19.3333,79.4833,India,IN,Telangana,,57583.0,57583.0,171
Mācherla,16.48,79.43,India,IN,Andhra Pradesh,,57290.0,57290.0,139
Kandukūr,15.2165,79.9042,India,IN,Andhra Pradesh,,57246.0,57246.0,20
Sāmalkot,17.0531,82.1695,India,IN,Andhra Pradesh,,56864.0,56864.0,23
Bobbili,18.5667,83.4167,India,IN,Andhra Pradesh,,56819.0,56819.0,93
Sattenapalle,16.3962,80.1497,India,IN,Andhra Pradesh,,56721.0,56721.0,73
Vrindāvan,27.5806,77.7006,India,IN,Uttar Pradesh,,56618.0,56618.0,176
Mandapeta,16.87,81.93,India,IN,Andhra Pradesh,,56063.0,56063.0,14
Belampalli,19.0558,79.4931,India,IN,Telangana,,55841.0,55841.0,207
Bhīmunipatnam,17.8864,83.4471,India,IN,Andhra Pradesh,,55082.0,55082.0,29
Nāndod,21.8704,73.5026,India,IN,Gujarāt,,54923.0,54923.0,46
Pithāpuram,17.1167,82.2667,India,IN,Andhra Pradesh,,54859.0,54859.0,16
Punganūru,13.3667,78.5833,India,IN,Andhra Pradesh,,54746.0,54746.0,725
Puttūr,13.45,79.55,India,IN,Andhra Pradesh,,54092.0,54092.0,142
Jalor,25.35,72.6167,India,IN,Rājasthān,,54081.0,54081.0,161
Palmaner,13.2,78.75,India,IN,Andhra Pradesh,,54035.0,54035.0,683
Dholka,22.72,72.47,India,IN,Gujarāt,,53792.0,53792.0,23
Jaggayyapeta,16.892,80.0976,India,IN,Telangana,,53530.0,53530.0,56
Tuni,17.35,82.55,India,IN,Andhra Pradesh,,53425.0,53425.0,22
Amalāpuram,16.5833,82.0167,India,IN,Andhra Pradesh,,53231.0,53231.0,9
Jagtiāl,18.8,78.93,India,IN,Telangana,,53213.0,53213.0,272
Vikārābād,17.33,77.9,India,IN,Telangana,,53143.0,53143.0,641
Venkatagiri,13.9667,79.5833,India,IN,Andhra Pradesh,,52688.0,52688.0,67
Sihor,21.7,71.97,India,IN,Gujarāt,,52603.0,52603.0,115
Jangaon,17.72,79.18,India,IN,Telangana,,52394.0,52394.0,360
Mandamāri,18.9822,79.4811,India,IN,Telangana,,52352.0,52352.0,187
Metpalli,18.8297,78.5878,India,IN,Telangana,,50902.0,50902.0,319
Repalle,16.02,80.85,India,IN,Andhra Pradesh,,50866.0,50866.0,7
Bhainsa,19.1,77.9667,India,IN,Telangana,,49764.0,49764.0,359
Jasdan,22.03,71.2,India,IN,Gujarāt,,48483.0,48483.0,196
Jammalamadugu,14.85,78.38,India,IN,Andhra Pradesh,,46069.0,46069.0,184
Rāmeswaram,9.28,79.3,India,IN,Tamil Nādu,,44856.0,44856.0,5
Addanki,15.811,79.9738,India,IN,Andhra Pradesh,,43850.0,43850.0,40
Nidadavole,16.92,81.67,India,IN,Andhra Pradesh,,43809.0,43809.0,17
Bodupāl,17.4139,78.5783,India,IN,Telangana,,43692.0,43692.0,490
Rājgīr,25.03,85.42,India,IN,Bihār,,41587.0,41587.0,76
Rajaori,33.38,74.3,India,IN,Jammu and Kashmīr,,41552.0,41552.0,939
Naini Tal,29.3919,79.4542,India,IN,Uttarakhand,,41377.0,41377.0,1977
Channarāyapatna,12.9,76.39,India,IN,Karnātaka,,40400.0,40400.0,846
Maihar,24.27,80.75,India,IN,Madhya Pradesh,,40192.0,40192.0,351
Panaji,15.48,73.83,India,IN,Goa,admin,40017.0,40017.0,2
Junnar,19.2,73.88,India,IN,Mahārāshtra,,40000.0,40000.0,695
Amudālavalasa,18.4167,83.9,India,IN,Andhra Pradesh,,39799.0,39799.0,37
Damān,20.417,72.85,India,IN,Gujarāt,admin,39737.0,39737.0,6
Kovvūr,17.0167,81.7333,India,IN,Andhra Pradesh,,39667.0,39667.0,24
Solan,30.92,77.12,India,IN,Himāchal Pradesh,,39256.0,39256.0,1283
Dwārka,22.2403,68.9686,India,IN,Gujarāt,,38873.0,38873.0,10
Pathanāmthitta,9.2647,76.7872,India,IN,Kerala,,37802.0,37802.0,32
Kodaikānal,10.23,77.48,India,IN,Tamil Nādu,,36501.0,36501.0,2105
Udhampur,32.93,75.13,India,IN,Jammu and Kashmīr,,35507.0,35507.0,745
Giddalūr,15.3784,78.9265,India,IN,Andhra Pradesh,,35150.0,35150.0,271
Yellandu,17.6,80.33,India,IN,Telangana,,35056.0,35056.0,221
Shrīrangapattana,12.4181,76.6947,India,IN,Karnātaka,,34135.0,34135.0,689
Angamāli,10.196,76.386,India,IN,Kerala,,33424.0,33424.0,18
Umaria,23.5245,80.8365,India,IN,Madhya Pradesh,,33114.0,33114.0,461
