Accession,lat,lng
Acc_0180,8.740667,-76.339917
Acc_0181,8.740667,-76.339917
Acc_0182,10.08333,-73.15
Acc_0183,8.740667,-76.339917
Acc_0184,10.08333,-73.15
Acc_0185,10.08333,-73.15
Acc_0186,8.769028,-76.304611
Acc_0187,8.740667,-76.339917
Acc_0188,8.740667,-76.339917
Acc_0189,10.08333,-73.15
Acc_0190,9.299306,-73.781222
Acc_0191,9.290361,-73.766667
Acc_0192,10.08333,-73.15
Acc_0193,8.740667,-76.339917
Acc_0194,8.740667,-76.339917
Acc_0195,8.740667,-76.339917
Acc_0196,18.359928,-95.015159
Acc_0197,-27.059282,-49.083418
Acc_0198,-23.587416,-46.657634
Acc_0199,21.335098,-157.802374
Acc_0200,15.150606,-92.470856
Acc_0201,15.150606,-92.470856
Acc_0202,15.150606,-92.470856
Acc_0203,15.152988,-92.480405
Acc_0204,15.2346,-92.466596
Acc_0205,9.386084,-82.532844
Acc_0206,15.138077,-92.459841
Acc_0207,20.934346,-105.310822
Acc_0208,-23.75,-46.15
Acc_0209,8.683333,-83.21667
Acc_0210,8.683333,-83.21667
Acc_0211,8.683333,-83.21667
Acc_0212,8.683333,-83.21667
Acc_0213,8.683333,-83.21667
Acc_0214,8.683333,-83.21667
Acc_0215,8.683333,-83.21667
Acc_0216,8.683333,-83.21667
Acc_0217,8.683333,-83.21667
Acc_0218,8.683333,-83.21667
Acc_0219,8.683333,-83.21667
Acc_0220,8.683333,-83.21667
Acc_0221,8.683333,-83.21667
Acc_0222,8.683333,-83.21667
Acc_0223,8.683333,-83.21667
Acc_0224,8.683333,-83.21667
Acc_0225,8.683333,-83.21667
Acc_0226,-23.704097,-64.85595
Acc_0227,3.55185,-73.41142
Acc_0228,3.53103,-73.42202
Acc_0229,3.52278,-73.41335
Acc_0230,3.53092,-73.42168
Acc_0231,3.52467,-73.40749
Acc_0232,-26.022286,-48.756243
Acc_0233,-27.098611,-48.896111
Acc_0234,-26.840833,-49.085555
Acc_0235,11.056711,-72.583098
Acc_0236,11.013511,-72.672635
Acc_0237,11.013511,-72.672635
Acc_0238,11.013511,-72.672635
Acc_0239,11.013511,-72.672635
Acc_0240,11.013511,-72.672635
Acc_0241,11.013511,-72.672635
Acc_0242,11.013511,-72.672635
Acc_0243,11.013511,-72.672635
Acc_0244,11.013511,-72.672635
Acc_0245,11.013511,-72.672635
Acc_0246,11.013511,-72.672635
Acc_0247,11.013511,-72.672635
Acc_0248,11.013511,-72.672635
Acc_0249,11.013511,-72.672635
Acc_0250,10.989142,-72.696048
Acc_0251,11.064238,-72.557115
Acc_0252,10.989142,-72.696048
Acc_0253,10.989142,-72.696048
Acc_0254,11.013511,-72.672635
Acc_0255,11.013511,-72.672635
Acc_0256,11.076612,-72.55826
Acc_0257,5.1138,-74.9098
Acc_0258,5.11375,-74.90978
Acc_0259,5.145803,-74.818369
Acc_0260,-0.638063,-76.149834
Acc_0261,23.723273,-106.257031
Acc_0262,3.596167,-73.550167
Acc_0263,3.800222,-73.8955
Acc_0264,16.19759,-61.53977
Acc_0265,14.65485,-61.01929
Acc_0266,3.92404,-53.23477
Acc_0267,14.65485,-61.01929
Acc_0268,-19.968611,-40.144722
Acc_0269,-27.510278,-48.431389
Acc_0270,6.958099,-73.835683
Acc_0271,31.190001,31.190001
Acc_0272,10.85,-85.610001
Acc_0273,38.610001,-90.260002
Acc_0274,10.88,-85.389999
Acc_0275,10.9,-80.279999
Acc_0276,10.84,-85.610001
Acc_0277,10.88,-85.389999
Acc_0278,10.9,-80.279999
Acc_0279,-19.966667,-40.533333
Acc_0280,5.891201,-74.647082
Acc_0281,-3.194639,-70.87942
Acc_0282,-3.42895,-70.7584
Acc_0283,-2.5234,-70.185
Acc_0284,-2.5234,-70.185
Acc_0285,-27.263611,-49.115278
Acc_0286,10.423633,-84.733572
Acc_0287,9.299167,-73.780667
Acc_0288,-19.056437,-40.147373
Acc_0289,17.162192,-94.781242
Acc_0290,-27.052753,-49.082512
Acc_0291,21.332971,-157.801539
Acc_0292,-12.630856,-71.241582
Acc_0293,12.008539,79.81943
Acc_0294,5.81422,-74.23007
Acc_0295,5.99175,-74.301972
Acc_0296,5.813083,-74.229083
Acc_0297,9.377097,-84.146902
Acc_0298,-19.530076,-39.981737
Acc_0299,-19.154444,-40.069444
Acc_0300,-0.634519,-76.157797
Acc_0301,9.53722,-83.83833
Acc_0302,19.8083,-155.09343
Acc_0303,-25.631667,-48.734722
Acc_0304,16.66986,-90.81125
Acc_0305,16.696398,-90.97862
Acc_0306,17.081112,-91.782789
Acc_0307,-0.6114,-76.067495
Acc_0308,4.791319,-75.688375
Acc_0309,-23.724573,-46.039625
Acc_0310,10.35295,-75.428627
Acc_0311,10.35295,-75.428627
Acc_0312,10.35295,-75.428627
Acc_0313,10.35295,-75.428627
Acc_0314,10.35295,-75.428627
Acc_0315,10.35295,-75.428627
Acc_0316,10.35295,-75.428627
